rank,compound_id,vina_score_kcal_mol,class,measured_potency_nM
304,CHEMBL7908,-6.22,decoy,
305,CHEMBL275546,-6.21,decoy,
306,CHEMBL275554,-6.21,decoy,
307,CHEMBL6349,-6.2,decoy,
308,CHEMBL14112,-6.19,decoy,
309,CHEMBL17553,-6.19,decoy,
310,CHEMBL266553,-6.19,decoy,
311,CHEMBL274897,-6.19,decoy,
312,CHEMBL20711,-6.18,decoy,
313,CHEMBL266161,-6.18,decoy,
314,CHEMBL195454,-6.17,active,1.8
315,CHEMBL12389,-6.17,decoy,
316,CHEMBL275680,-6.17,decoy,
317,CHEMBL7501,-6.17,decoy,
318,CHEMBL7934,-6.17,decoy,
319,CHEMBL266865,-6.16,decoy,
320,CHEMBL275177,-6.16,decoy,
321,CHEMBL8179,-6.16,decoy,
322,CHEMBL9549,-6.16,decoy,
323,CHEMBL4451757,-6.15,active,1.585
324,CHEMBL12523,-6.15,decoy,
325,CHEMBL267096,-6.15,decoy,
326,CHEMBL9586,-6.15,decoy,
327,CHEMBL12707,-6.14,decoy,
328,CHEMBL268528,-6.14,decoy,
329,CHEMBL7502,-6.14,decoy,
330,CHEMBL9699,-6.14,decoy,
331,CHEMBL12844,-6.13,decoy,
332,CHEMBL17328,-6.13,decoy,
333,CHEMBL268889,-6.13,decoy,
334,CHEMBL6287,-6.13,decoy,
335,CHEMBL9635,-6.13,decoy,
336,CHEMBL5437573,-6.12,active,2.86
337,CHEMBL13049,-6.12,decoy,
338,CHEMBL263076,-6.12,decoy,
339,CHEMBL4741557,-6.11,active,1584.89
340,CHEMBL12422,-6.11,decoy,
341,CHEMBL6299,-6.11,decoy,
342,CHEMBL11156,-6.1,decoy,
343,CHEMBL15803,-6.1,decoy,
344,CHEMBL274828,-6.1,decoy,
345,CHEMBL1290191,-6.09,active,2.0
346,CHEMBL6265,-6.09,decoy,
347,CHEMBL9409,-6.09,decoy,
348,CHEMBL11064,-6.08,decoy,
349,CHEMBL13798,-6.08,decoy,
350,CHEMBL2,-6.08,decoy,
351,CHEMBL268754,-6.08,decoy,
352,CHEMBL276596,-6.08,decoy,
353,CHEMBL282225,-6.08,decoy,
354,CHEMBL423287,-6.08,decoy,
355,CHEMBL276102,-6.07,decoy,
356,CHEMBL20274,-6.06,decoy,
357,CHEMBL6256,-6.06,decoy,
358,CHEMBL12654,-6.05,decoy,
359,CHEMBL268887,-6.05,decoy,
360,CHEMBL8132,-6.05,decoy,
361,CHEMBL9543,-6.05,decoy,
362,CHEMBL275790,-6.04,decoy,
363,CHEMBL415034,-6.04,decoy,
364,CHEMBL275555,-6.03,decoy,
365,CHEMBL281823,-6.03,decoy,
366,CHEMBL6,-6.03,decoy,
367,CHEMBL6209,-6.03,decoy,
368,CHEMBL7826,-6.03,decoy,
369,CHEMBL8,-6.03,decoy,
370,CHEMBL9740,-6.03,decoy,
371,CHEMBL266483,-6.01,decoy,
372,CHEMBL267236,-6.01,decoy,
373,CHEMBL7962,-6.01,decoy,
374,CHEMBL12909,-6.0,decoy,
375,CHEMBL283340,-6.0,decoy,
376,CHEMBL9152,-6.0,decoy,
377,CHEMBL9662,-6.0,decoy,
378,CHEMBL11149,-5.99,decoy,
379,CHEMBL13674,-5.99,decoy,
380,CHEMBL427651,-5.99,decoy,
381,CHEMBL4760625,-5.98,active,19.95
382,CHEMBL204146,-5.98,decoy,
383,CHEMBL30074,-5.98,decoy,
384,CHEMBL430151,-5.98,decoy,
385,CHEMBL12624,-5.97,decoy,
386,CHEMBL12950,-5.97,decoy,
387,CHEMBL20290,-5.97,decoy,
388,CHEMBL268428,-5.97,decoy,
389,CHEMBL276356,-5.97,decoy,
390,CHEMBL283437,-5.97,decoy,
391,CHEMBL9303,-5.97,decoy,
392,CHEMBL12403,-5.96,decoy,
393,CHEMBL17235,-5.96,decoy,
394,CHEMBL266809,-5.96,decoy,
395,CHEMBL276049,-5.96,decoy,
396,CHEMBL276173,-5.96,decoy,
397,CHEMBL8032,-5.96,decoy,
398,CHEMBL9872,-5.96,decoy,
399,CHEMBL266780,-5.95,decoy,
400,CHEMBL283037,-5.95,decoy,
401,CHEMBL6275,-5.95,decoy,
402,CHEMBL6365,-5.95,decoy,
403,CHEMBL7629,-5.95,decoy,
404,CHEMBL7808,-5.95,decoy,
405,CHEMBL9413,-5.95,decoy,
406,CHEMBL9715,-5.95,decoy,
407,CHEMBL5394366,-5.94,active,3.34
408,CHEMBL577121,-5.94,active,0.4
409,CHEMBL12513,-5.94,decoy,
410,CHEMBL417809,-5.94,decoy,
411,CHEMBL275698,-5.93,decoy,
412,CHEMBL6364,-5.93,decoy,
413,CHEMBL265663,-5.92,decoy,
414,CHEMBL266706,-5.92,decoy,
415,CHEMBL8889,-5.92,decoy,
416,CHEMBL9730,-5.92,decoy,
417,CHEMBL15608,-5.91,decoy,
418,CHEMBL7637,-5.91,decoy,
419,CHEMBL14654,-5.9,decoy,
420,CHEMBL274830,-5.9,decoy,
421,CHEMBL276255,-5.9,decoy,
422,CHEMBL9350,-5.9,decoy,
423,CHEMBL15341,-5.89,decoy,
424,CHEMBL266281,-5.88,decoy,
425,CHEMBL6331,-5.88,decoy,
426,CHEMBL7990,-5.88,decoy,
427,CHEMBL8102,-5.88,decoy,
428,CHEMBL15273,-5.87,decoy,
429,CHEMBL13593,-5.86,decoy,
430,CHEMBL14521,-5.86,decoy,
431,CHEMBL15835,-5.86,decoy,
432,CHEMBL17187,-5.86,decoy,
433,CHEMBL21144,-5.86,decoy,
434,CHEMBL263075,-5.86,decoy,
435,CHEMBL267062,-5.86,decoy,
436,CHEMBL440453,-5.86,decoy,
437,CHEMBL561,-5.86,decoy,
438,CHEMBL6199,-5.86,decoy,
439,CHEMBL9,-5.86,decoy,
440,CHEMBL280236,-5.85,decoy,
441,CHEMBL473,-5.85,decoy,
442,CHEMBL7339,-5.85,decoy,
443,CHEMBL7716,-5.85,decoy,
444,CHEMBL15949,-5.84,decoy,
445,CHEMBL15993,-5.84,decoy,
446,CHEMBL17147,-5.84,decoy,
447,CHEMBL268559,-5.84,decoy,
448,CHEMBL265664,-5.83,decoy,
449,CHEMBL10995,-5.82,decoy,
450,CHEMBL15893,-5.82,decoy,
451,CHEMBL9279,-5.82,decoy,
452,CHEMBL12755,-5.81,decoy,
453,CHEMBL15787,-5.81,decoy,
454,CHEMBL277299,-5.81,decoy,
455,CHEMBL429244,-5.81,decoy,
456,CHEMBL4792937,-5.8,active,39.81
457,CHEMBL15530,-5.8,decoy,
458,CHEMBL267895,-5.8,decoy,
459,CHEMBL278288,-5.8,decoy,
460,CHEMBL7893,-5.8,decoy,
461,CHEMBL9943,-5.8,decoy,
462,CHEMBL20980,-5.79,decoy,
463,CHEMBL267914,-5.79,decoy,
464,CHEMBL268479,-5.79,decoy,
465,CHEMBL6277,-5.79,decoy,
466,CHEMBL6345,-5.79,decoy,
467,CHEMBL12264,-5.78,decoy,
468,CHEMBL17441,-5.78,decoy,
469,CHEMBL267678,-5.78,decoy,
470,CHEMBL268830,-5.78,decoy,
471,CHEMBL6210,-5.78,decoy,
472,CHEMBL11299,-5.77,decoy,
473,CHEMBL265374,-5.77,decoy,
474,CHEMBL274064,-5.77,decoy,
475,CHEMBL275783,-5.77,decoy,
476,CHEMBL9489,-5.77,decoy,
477,CHEMBL11331,-5.76,decoy,
478,CHEMBL276603,-5.76,decoy,
479,CHEMBL418547,-5.76,decoy,
480,CHEMBL6225,-5.76,decoy,
481,CHEMBL15992,-5.75,decoy,
482,CHEMBL267358,-5.75,decoy,
483,CHEMBL7747,-5.75,decoy,
484,CHEMBL266461,-5.74,decoy,
485,CHEMBL266707,-5.74,decoy,
486,CHEMBL276473,-5.74,decoy,
487,CHEMBL440644,-5.74,decoy,
488,CHEMBL6312,-5.74,decoy,
489,CHEMBL7772,-5.74,decoy,
490,CHEMBL15598,-5.73,decoy,
491,CHEMBL9591,-5.73,decoy,
492,CHEMBL12357,-5.72,decoy,
493,CHEMBL12678,-5.72,decoy,
494,CHEMBL7935,-5.72,decoy,
495,CHEMBL5079418,-5.71,active,0.5
496,CHEMBL567137,-5.71,active,890.0
497,CHEMBL7807,-5.71,decoy,
498,CHEMBL106,-5.69,decoy,
499,CHEMBL266993,-5.69,decoy,
500,CHEMBL267434,-5.69,decoy,
501,CHEMBL7567,-5.69,decoy,
502,CHEMBL10828,-5.68,decoy,
503,CHEMBL14514,-5.68,decoy,
504,CHEMBL16140,-5.68,decoy,
505,CHEMBL5,-5.68,decoy,
506,CHEMBL413593,-5.67,decoy,
507,CHEMBL414006,-5.67,decoy,
508,CHEMBL12837,-5.65,decoy,
509,CHEMBL276886,-5.65,decoy,
510,CHEMBL182790,-5.62,active,30.0
511,CHEMBL12434,-5.62,decoy,
512,CHEMBL15552,-5.62,decoy,
513,CHEMBL4565840,-5.61,active,0.631
514,CHEMBL7381,-5.61,decoy,
515,CHEMBL10818,-5.6,decoy,
516,CHEMBL275451,-5.6,decoy,
517,CHEMBL7917,-5.6,decoy,
518,CHEMBL6273,-5.59,decoy,
519,CHEMBL14532,-5.58,decoy,
520,CHEMBL277722,-5.58,decoy,
521,CHEMBL429764,-5.58,decoy,
522,CHEMBL7659,-5.58,decoy,
523,CHEMBL7849,-5.58,decoy,
524,CHEMBL604281,-5.57,active,1.995
525,CHEMBL6201,-5.57,decoy,
526,CHEMBL7556,-5.57,decoy,
527,CHEMBL14029,-5.56,decoy,
528,CHEMBL276898,-5.56,decoy,
529,CHEMBL418339,-5.56,decoy,
530,CHEMBL441590,-5.56,decoy,
531,CHEMBL562,-5.56,decoy,
532,CHEMBL4217414,-5.55,active,1.585
533,CHEMBL275453,-5.55,decoy,
534,CHEMBL8938,-5.55,decoy,
535,CHEMBL430343,-5.53,decoy,
536,CHEMBL6282,-5.52,decoy,
537,CHEMBL268530,-5.51,decoy,
538,CHEMBL415287,-5.51,decoy,
539,CHEMBL13219,-5.5,decoy,
540,CHEMBL275476,-5.5,decoy,
541,CHEMBL6289,-5.5,decoy,
542,CHEMBL9849,-5.5,decoy,
543,CHEMBL11368,-5.49,decoy,
544,CHEMBL275036,-5.49,decoy,
545,CHEMBL13909,-5.47,decoy,
546,CHEMBL267550,-5.47,decoy,
547,CHEMBL277104,-5.47,decoy,
548,CHEMBL7850,-5.47,decoy,
549,CHEMBL15710,-5.46,decoy,
550,CHEMBL17744,-5.46,decoy,
551,CHEMBL269495,-5.46,decoy,
552,CHEMBL430296,-5.46,decoy,
553,CHEMBL6204,-5.45,decoy,
554,CHEMBL276598,-5.44,decoy,
555,CHEMBL14215,-5.43,decoy,
556,CHEMBL417424,-5.43,decoy,
557,CHEMBL496,-5.42,decoy,
558,CHEMBL266614,-5.41,decoy,
559,CHEMBL8094,-5.41,decoy,
560,CHEMBL14535,-5.39,decoy,
561,CHEMBL20121,-5.39,decoy,
562,CHEMBL7546,-5.38,decoy,
563,CHEMBL9234,-5.37,decoy,
564,CHEMBL9942,-5.37,decoy,
565,CHEMBL6311,-5.36,decoy,
566,CHEMBL267127,-5.35,decoy,
567,CHEMBL11419,-5.34,decoy,
568,CHEMBL6221,-5.33,decoy,
569,CHEMBL11162,-5.32,decoy,
570,CHEMBL14294,-5.32,decoy,
571,CHEMBL30360,-5.32,decoy,
572,CHEMBL417975,-5.32,decoy,
573,CHEMBL13992,-5.31,decoy,
574,CHEMBL6251,-5.31,decoy,
575,CHEMBL9685,-5.3,decoy,
576,CHEMBL267744,-5.28,decoy,
577,CHEMBL31450,-5.28,decoy,
578,CHEMBL9710,-5.28,decoy,
579,CHEMBL6286,-5.27,decoy,
580,CHEMBL9660,-5.27,decoy,
581,CHEMBL12256,-5.26,decoy,
582,CHEMBL274412,-5.26,decoy,
583,CHEMBL6301,-5.26,decoy,
584,CHEMBL9143,-5.26,decoy,
585,CHEMBL10574,-5.25,decoy,
586,CHEMBL274543,-5.25,decoy,
587,CHEMBL30289,-5.25,decoy,
588,CHEMBL14307,-5.24,decoy,
589,CHEMBL275994,-5.24,decoy,
590,CHEMBL14533,-5.22,decoy,
591,CHEMBL30292,-5.21,decoy,
592,CHEMBL416895,-5.21,decoy,
593,CHEMBL273599,-5.17,decoy,
594,CHEMBL6229,-5.16,decoy,
595,CHEMBL273958,-5.14,decoy,
596,CHEMBL6309,-5.14,decoy,
597,CHEMBL17466,-5.13,decoy,
598,CHEMBL274281,-5.13,decoy,
599,CHEMBL276896,-5.13,decoy,
600,CHEMBL7549,-5.12,decoy,
601,CHEMBL13943,-5.09,decoy,
602,CHEMBL274622,-5.06,decoy,
603,CHEMBL11092,-5.05,decoy,
604,CHEMBL12796,-5.05,decoy,
605,CHEMBL5197613,-5.04,active,2.5
606,CHEMBL17354,-5.04,decoy,
607,CHEMBL9688,-5.03,decoy,
608,CHEMBL273416,-5.02,decoy,
609,CHEMBL415964,-5.01,decoy,
610,CHEMBL429009,-5.0,decoy,
611,CHEMBL11158,-4.99,decoy,
612,CHEMBL9457,-4.99,decoy,
613,CHEMBL267575,-4.97,decoy,
614,CHEMBL273446,-4.97,decoy,
615,CHEMBL12919,-4.93,decoy,
616,CHEMBL279139,-4.93,decoy,
617,CHEMBL440788,-4.93,decoy,
618,CHEMBL277810,-4.92,decoy,
619,CHEMBL281645,-4.92,decoy,
620,CHEMBL276751,-4.9,decoy,
621,CHEMBL418159,-4.9,decoy,
622,CHEMBL10941,-4.88,decoy,
623,CHEMBL12553,-4.87,decoy,
624,CHEMBL6248,-4.87,decoy,
625,CHEMBL17872,-4.86,decoy,
626,CHEMBL12651,-4.83,decoy,
627,CHEMBL281967,-4.83,decoy,
628,CHEMBL12637,-4.79,decoy,
629,CHEMBL266629,-4.75,decoy,
630,CHEMBL9735,-4.75,decoy,
631,CHEMBL15922,-4.73,decoy,
632,CHEMBL12895,-4.72,decoy,
633,CHEMBL11043,-4.68,decoy,
634,CHEMBL12687,-4.68,decoy,
635,CHEMBL273293,-4.65,decoy,
636,CHEMBL275279,-4.65,decoy,
637,CHEMBL268052,-4.55,decoy,
638,CHEMBL90181,-4.44,active,1900.0
639,CHEMBL278257,-4.26,decoy,
